screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
JaneBenn333,Jane Bennz,389188221,1287164943985500164,/JaneBenn333/status/1287164943985500164,2020-07-25 23:16:51,1595719011,Oh for fucks sake shes 50. She already has a child. News flash to the world: women are more than just baby factories.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Oh for fucks sake shes 50. She already has a child. News flash to the world: women are more than just baby factories.</p>",[],[],False,[],,0,0,0,False,True,1287163253517422592,"[{'screen_name': 'GossipCop', 'user_id': '25701904'}]"
GossipCop,Gossip Cop,25701904,1287163253517422592,/GossipCop/status/1287163253517422592,2020-07-25 23:10:08,1595718608,Gwen Stefani Pregnant? Another Report Proven Wronghttps://www.gossipcop.com/gwen-stefani-pregnant-another-report-proven-wrong/2550871 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Gwen Stefani Pregnant? Another Report Proven Wrong<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/gwen-stefani-pregnant-another-report-proven-wrong/2550871"" dir=""ltr"" href=""https://t.co/PxtM0H51oX"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/gwen-stefani-pregnant-another-report-proven-wrong/2550871""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/gwen-stefani-p</span><span class=""invisible"">regnant-another-report-proven-wrong/2550871</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/gwen-stefani-pregnant-another-report-proven-wrong/2550871'],[],False,[],,0,0,1,True,False,,[]
GossipCop,Gossip Cop,25701904,1287148237804179461,/GossipCop/status/1287148237804179461,2020-07-25 22:10:28,1595715028,Kris Jenner Plotting “Triple Wedding” To Boost 'KUWTK' Ratings?https://www.gossipcop.com/kris-jenner-plotting-triple-wedding-to-boost-kuwtk-ratings/2550980 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Kris Jenner Plotting “Triple Wedding” To Boost 'KUWTK' Ratings?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/kris-jenner-plotting-triple-wedding-to-boost-kuwtk-ratings/2550980"" dir=""ltr"" href=""https://t.co/tQiJpLLXmB"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/kris-jenner-plotting-triple-wedding-to-boost-kuwtk-ratings/2550980""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/kris-jenner-pl</span><span class=""invisible"">otting-triple-wedding-to-boost-kuwtk-ratings/2550980</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/kris-jenner-plotting-triple-wedding-to-boost-kuwtk-ratings/2550980'],[],False,[],,1,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1287118033396301824,/GossipCop/status/1287118033396301824,2020-07-25 20:10:27,1595707827,What Happened To Jennifer Garner Getting Engaged And Having A Baby?https://www.gossipcop.com/what-happened-to-jennifer-garner-getting-engaged-and-having-a-baby/2550909 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What Happened To Jennifer Garner Getting Engaged And Having A Baby?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/what-happened-to-jennifer-garner-getting-engaged-and-having-a-baby/2550909"" dir=""ltr"" href=""https://t.co/7RFc6ffjQS"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/what-happened-to-jennifer-garner-getting-engaged-and-having-a-baby/2550909""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/what-happened-</span><span class=""invisible"">to-jennifer-garner-getting-engaged-and-having-a-baby/2550909</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/what-happened-to-jennifer-garner-getting-engaged-and-having-a-baby/2550909'],[],False,[],,1,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1287087765314838528,/GossipCop/status/1287087765314838528,2020-07-25 18:10:10,1595700610,Did Jennifer Garner And John Miller Have A Wedding At The End Of Summer?https://www.gossipcop.com/did-jennifer-garner-and-john-miller-have-a-wedding-at-the-end-of-summer/2550945 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Did Jennifer Garner And John Miller Have A Wedding At The End Of Summer?<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/did-jennifer-garner-and-john-miller-have-a-wedding-at-the-end-of-summer/2550945"" dir=""ltr"" href=""https://t.co/9X5WvqIytO"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/did-jennifer-garner-and-john-miller-have-a-wedding-at-the-end-of-summer/2550945""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/did-jennifer-g</span><span class=""invisible"">arner-and-john-miller-have-a-wedding-at-the-end-of-summer/2550945</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/did-jennifer-garner-and-john-miller-have-a-wedding-at-the-end-of-summer/2550945'],[],False,[],,0,0,0,False,False,,[]
GossipCop,Gossip Cop,25701904,1287087762965921792,/GossipCop/status/1287087762965921792,2020-07-25 18:10:10,1595700610,Truth About Teresa Giudice’s Plans After ‘Real Housewives’https://www.gossipcop.com/truth-about-teresa-giudices-plans-after-real-housewives/2550849 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Truth About Teresa Giudice’s Plans After ‘Real Housewives’<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/truth-about-teresa-giudices-plans-after-real-housewives/2550849"" dir=""ltr"" href=""https://t.co/bbdlenDpCl"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/truth-about-teresa-giudices-plans-after-real-housewives/2550849""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/truth-about-te</span><span class=""invisible"">resa-giudices-plans-after-real-housewives/2550849</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/truth-about-teresa-giudices-plans-after-real-housewives/2550849'],[],False,[],,0,0,0,False,False,,[]
Shmade,David K. Calabria,19935320,1287065193248366593,/Shmade/status/1287065193248366593,2020-07-25 16:40:29,1595695229,Are you sure? Because I heard he HAS,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Are you sure? Because I heard he HAS</p>",[],[],False,[],,0,0,0,False,True,1287057587507257346,"[{'screen_name': 'GossipCop', 'user_id': '25701904'}]"
Fibby1123,Brittany G,44610616,1287058418566479875,/Fibby1123/status/1287058418566479875,2020-07-25 16:13:34,1595693614,Muzzled*,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Muzzled*</p>",[],[],False,[],,1,0,0,False,True,1287057587507257346,"[{'screen_name': 'GossipCop', 'user_id': '25701904'}]"
GossipCop,Gossip Cop,25701904,1287057587507257346,/GossipCop/status/1287057587507257346,2020-07-25 16:10:15,1595693415,Ryan Seacrest Has Not 'Muzzeled' Shayna Taylor With Non-Disclosure Agreementhttps://www.gossipcop.com/ryan-seacrest-has-not-muzzeled-shayna-taylor-with-non-disclosure-agreement/2551053 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Ryan Seacrest Has Not 'Muzzeled' Shayna Taylor With Non-Disclosure Agreement<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.gossipcop.com/ryan-seacrest-has-not-muzzeled-shayna-taylor-with-non-disclosure-agreement/2551053"" dir=""ltr"" href=""https://t.co/GUKHJC36b5"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.gossipcop.com/ryan-seacrest-has-not-muzzeled-shayna-taylor-with-non-disclosure-agreement/2551053""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">gossipcop.com/ryan-seacrest-</span><span class=""invisible"">has-not-muzzeled-shayna-taylor-with-non-disclosure-agreement/2551053</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.gossipcop.com/ryan-seacrest-has-not-muzzeled-shayna-taylor-with-non-disclosure-agreement/2551053'],[],False,[],,0,0,3,True,False,,[]
Shmade,David K. Calabria,19935320,1287046349721133058,/Shmade/status/1287046349721133058,2020-07-25 15:25:36,1595690736,"Not sure I NEED to know, but...","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Not sure I NEED to know, but...</p>",[],[],False,[],,0,0,0,False,True,1286816023996444672,"[{'screen_name': 'GossipCop', 'user_id': '25701904'}]"
